"","artist","song","song_parts","key","bpm","chords","link"
"476","ZUN","Pure Furies - Whereabouts of the Heart","Intro","C#min","177","c#sus2-G#-A-B-c#m-g#sus4-Amaj7-Bsus2-c#m-g#sus4-Amaj7-Bsus2","http://www.hooktheory.com/theorytab/view/zun/pure-furies---whereabouts-of-the-heart"
"477","ZUN","Pure Furies - Whereabouts of the Heart","Verse","C#min","176","A-B-c#m-c#m-A-B-c#m-c#m-Amaj7-B-c#m-c#m-Amaj7-B-C#sus4-C#","http://www.hooktheory.com/theorytab/view/zun/pure-furies---whereabouts-of-the-heart"
"478","ZUN","Pure Furies - Whereabouts of the Heart","Chorus","C#min","176","c#m-G#-Bsus4-F#7-A-B-c#m-c#m-c#m-G#-Bsus4-F#7-A-B-c#m-c#m-c#m-G#-Bsus2sus4-F#7-A-B-c#m-c#m-c#m-G#-Bsus2sus4-F#7-A-B-c#sus4-c#m","http://www.hooktheory.com/theorytab/view/zun/pure-furies---whereabouts-of-the-heart"
"479","Game Freak","Viridian Forest - Pokemon HeartGold and SoulSilver","Intro","Cmaj","118","C-C7-Fmaj7-fm6-G7-Cmaj7-C7-Fmaj7-Bb7-G","http://www.hooktheory.com/theorytab/view/game-freak/viridian-forest---pokemon-heartgold-and-soulsilver"
"480","Game Freak","Viridian Forest - Pokemon HeartGold and SoulSilver","Verse","Cmix","118","C-C7-Fmaj7-B-b(add9)-Cmaj7-C7-F-gm","http://www.hooktheory.com/theorytab/view/game-freak/viridian-forest---pokemon-heartgold-and-soulsilver"
"481","Game Freak","Viridian Forest - Pokemon HeartGold and SoulSilver","Chorus","Cmaj","118","em-em7-am-am7-dm-G-em-E7-am-A7-dm-D7-G","http://www.hooktheory.com/theorytab/view/game-freak/viridian-forest---pokemon-heartgold-and-soulsilver"
"482","Backstreet Boys","Shape of My Heart","Chorus","Dmaj","96","D-G-D-A-A7-f#m-bm-D-E-G-A","http://www.hooktheory.com/theorytab/view/backstreet-boys/shape-of-my-heart"
"483","Annie","Heartbeat","Verse","F#min","128","f#m7-Dmaj7-bm7-c#m7-f#m7-Dmaj7-bm7-c#m7","http://www.hooktheory.com/theorytab/view/annie/heartbeat"
"484","Annie","Heartbeat","Chorus","Bmin","128","G-A6-bm7-f#m7-G-A6-bm7-F#","http://www.hooktheory.com/theorytab/view/annie/heartbeat"
"485","The Avett Brothers","Kick Drum Heart","Verse","Cmaj","134","C-F-G-C-F-G","http://www.hooktheory.com/theorytab/view/the-avett-brothers/kick-drum-heart"
"486","The Avett Brothers","Kick Drum Heart","Chorus","Cmaj","136","F-G-am-F-G-am-F-G-am-F-G-C","http://www.hooktheory.com/theorytab/view/the-avett-brothers/kick-drum-heart"
"487","Joe Cocker","Unchain my Heart","Verse","Amin","118","am-am-am-am-dm-dm-am-am-dm-am-dm-am-F7-E7-am-am","http://www.hooktheory.com/theorytab/view/joe-cocker/unchain-my-heart"
