"artist","song","song_parts","key","bpm","chords","link","roman","roman_features","song_join_code","artist_name","album_name","album_release_date","year","phase"
"The Beatles","And I Love Her","Verse","Emaj",117,"f#m-c#m-f#m-c#m-f#m-c#m-A-B-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her","ii-vi-ii-vi-ii-vi-IV-V-I-I","ii-vi-ii-vi-ii-vi-IV-V-I-I","and i love her","The Beatles","A Hard Days Night","1964-07-10",1964,"Early"
"The Beatles","And I Love Her","Bridge","Emaj",115,"c#m-B-c#m-g#m-c#m-g#m-B-B7","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her","vi-V-vi-iii-vi-iii-V-V","vi-V-vi-iii-vi-iii-V-V7","and i love her","The Beatles","A Hard Days Night","1964-07-10",1964,"Early"
"The Beatles","And I Love Her","Outro","Fmaj",108,"gm-F-gm-D","http://www.hooktheory.com/theorytab/view/the-beatles/and-i-love-her","ii-I-ii-I/vi","ii-I-ii-I/vi","and i love her","The Beatles","A Hard Days Night","1964-07-10",1964,"Early"
"The Beatles","Penny Lane","Verse","Bmaj",112,"B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-F#7sus4-F#7-B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-E","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane","I-I-vi-I-IV-ii-V-V-I-I-vi-I-i/(min)-vi/(dor)-bVI/(min)-V-V-V-V-I-I-vi-I-IV-ii-V-V-I-I-vi-I-i/(min)-vi/(dor)-bVI/(min)-V-V-IV","I-I-vi7-I-IV6-ii7-V7-V7-I-I-vi7-I-i7/(min)-vi7(b5)/(dor)-bVImaj7/(min)-V7sus4-V7-V7sus4-V7-I-I-vi7-I-IV6-ii7-V7-V7-I-I-vi7-I-i7/(min)-vi7(b5)/(dor)-bVImaj7/(min)-V7sus4-V7-IV","penny lane","The Beatles","Magical Mystery Tour","1967-11-27",1967,"Late"
"The Beatles","Penny Lane","Verse","Bmaj",112,"B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-F#7sus4-F#7-B-B-g#m7-B-E6-c#m7-F#7-F#7-B-B-g#m7-B-bm7-g#m7(b5)-Gmaj7-F#7sus4-F#7-E","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane","I-I-vi-I-IV-ii-V-V-I-I-vi-I-i/(min)-vi/(dor)-bVI/(min)-V-V-V-V-I-I-vi-I-IV-ii-V-V-I-I-vi-I-i/(min)-vi/(dor)-bVI/(min)-V-V-IV","I-I-vi7-I-IV6-ii7-V7-V7-I-I-vi7-I-i7/(min)-vi7(b5)/(dor)-bVImaj7/(min)-V7sus4-V7-V7sus4-V7-I-I-vi7-I-IV6-ii7-V7-V7-I-I-vi7-I-i7/(min)-vi7(b5)/(dor)-bVImaj7/(min)-V7sus4-V7-IV","penny lane","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","Penny Lane","Chorus","Amaj",128,"A-A-D-D-A-A-D-F#7","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane","I-I-IV-IV-I-I-IV-V/ii","I-I-IV-IV-I-I-IV-V7/ii","penny lane","The Beatles","Magical Mystery Tour","1967-11-27",1967,"Late"
"The Beatles","Penny Lane","Chorus","Amaj",128,"A-A-D-D-A-A-D-F#7","http://www.hooktheory.com/theorytab/view/the-beatles/penny-lane","I-I-IV-IV-I-I-IV-V/ii","I-I-IV-IV-I-I-IV-V7/ii","penny lane","The Beatles","Sgt. Peppers Lonely Hearts Club Band","1967-05-26",1967,"Late"
"The Beatles","In My Life","Intro","Amaj",104,"A-E-A-E-f#m-A7-D-dm-A","http://www.hooktheory.com/theorytab/view/the-beatles/in-my-life","I-V-I-V-vi-V/IV-IV-iv/(min)-I","I-V-I-V-vi-V7/IV-IV-iv/(min)-I","in my life","The Beatles","Rubber Soul","1965-12-03",1965,"Early"
"The Beatles","I Should Have Known Better","Intro","Gmaj",128,"G-D-G-D-G-D-G-D-G-D-G-D-G-D-G-D","http://www.hooktheory.com/theorytab/view/the-beatles/i-should-have-known-better","I-V-I-V-I-V-I-V-I-V-I-V-I-V-I-V","I-V-I-V-I-V-I-V-I-V-I-V-I-V-I-V","i should have known better","The Beatles","A Hard Days Night","1964-07-10",1964,"Early"
"The Beatles","I Should Have Known Better","Verse","Gmaj",128,"G-D-G-D-G-D-G-D-G-D-em-C-D-G-D-G-D-G-D-G-D-G-D-G-D-G-D-em-C-C-B7-em-C-G-B7-em-C-G-Gmaj7-C-D-G-em-C-D-G","http://www.hooktheory.com/theorytab/view/the-beatles/i-should-have-known-better","I-V-I-V-I-V-I-V-I-V-vi-IV-V-I-V-I-V-I-V-I-V-I-V-I-V-I-V-vi-IV-IV-V/vi-vi-IV-I-V/vi-vi-IV-I-I-IV-V-I-vi-IV-V-I","I-V-I-V-I-V-I-V-I-V-vi-IV-V-I-V-I-V-I-V-I-V-I-V-I-V-I-V-vi-IV-IV-V7/vi-vi-IV-I-V7/vi-vi-IV-I-Imaj7-IV-V-I-vi-IV-V-I","i should have known better","The Beatles","A Hard Days Night","1964-07-10",1964,"Early"
