"artist","song","song_parts","key","bpm","chords","link"
"The Beatles","Ticket to Ride","Chorus","Amaj","128","f#m-D-f#m-Gmaj7-f#m-E-A(add9)","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
"The Beatles","Ticket to Ride","Bridge","Amaj","120","D-E-E7-D-E-E","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
"The Beatles","Ticket to Ride","Outro","Amaj","128","A(add9)","http://www.hooktheory.com/theorytab/view/the-beatles/ticket-to-ride"
"The Beatles","I'm Looking Through You","Verse","Abmaj","168","Ab-Absus4-Ab-bbm-fm-Eb-Ab-Absus4-Ab-bbm-fm-Eb-fm7-bbm7-Ab-Db-Eb-Ab-Absus4-Ab-bbm-Db-Ab-Ab-Db-Db-Ab-Ab-Db-Db-Ab-Ab-Db-Db-Ab","http://www.hooktheory.com/theorytab/view/the-beatles/im-looking-through-you"
"The Beatles","We Can Work It Out","Verse","Dmaj","102","D-Dsus4-D-Dsus4-C-D-D-Dsus4-D-Dsus4-C-D-G-D-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/we-can-work-it-out"
"The Beatles","We Can Work It Out","Bridge","Cmaj","120","","http://www.hooktheory.com/theorytab/view/the-beatles/we-can-work-it-out"
"The Beatles","Nowhere Man","Intro","Ebmaj","116","fm-abm-Eb","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"The Beatles","Nowhere Man","Verse","Emaj","112","E-B-A-E-f#m-am-E","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"The Beatles","Nowhere Man","Chorus","Emaj","128","g#m-A-g#m-A-g#m-f#m-B","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"The Beatles","Nowhere Man","Solo","Emaj","112","E-B-A-E-f#m-am-E","http://www.hooktheory.com/theorytab/view/the-beatles/nowhere-man"
"The Beatles","Dear Prudence","Verse","Dmaj","74","D-D7-bm7-Bb6-D-D7-bm7-Bb6-D-D7-bm7-Bb6-D-D7-bm7-Bb6","http://www.hooktheory.com/theorytab/view/the-beatles/dear-prudence"
"The Beatles","Michelle","Verse","Fmaj","116","F-F-F-bbm7-bbm7-Eb6-cm-dm6-bm7(b5)-C-bm7(b5)-C","http://www.hooktheory.com/theorytab/view/the-beatles/michelle"
"The Beatles","Michelle","Chorus","Fmin","118","fm-fm-fm-fm-fm-fm-Ab7-Db-C7-C7-fm-fm-fm-C-C-fm7-fm6-dm(b5)-bbm-C","http://www.hooktheory.com/theorytab/view/the-beatles/michelle"
"The Beatles","You Never Give Me Your Money","Intro","Cmaj","81","am7-dm7-G7-C-Fmaj7-bm7(b5)-E7-am","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"The Beatles","You Never Give Me Your Money","Verse","Cmaj","88","C-E7-am-C7-F-G7-C","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"The Beatles","You Never Give Me Your Money","Chorus","Cmaj","88","Bb-F-C-Bb-F-C-Bb-F-C-Bb-F-C-Bb-F","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"The Beatles","You Never Give Me Your Money","Bridge","Amaj","88","A-B-C-E-A-dm-G-asus4-G-A-B-C","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"The Beatles","You Never Give Me Your Money","Solo","Cmaj","88","C-D7-Ebmaj7-G7-C7-A7-Eb7-C7-F#7-Eb7-A7-F#maj7-G7-Ab7","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
"The Beatles","You Never Give Me Your Money","Outro","Amaj","88","C-G-A-C-G-A-C-G-A-C-G-A-C-G-A-C-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/you-never-give-me-your-money"
