"artist","song","song_parts","key","bpm","chords","link","roman"
"The Beatles","Lady Madonna","Verse","Amaj",220,"A-D-A-D-A-D-F-G-A","http://www.hooktheory.com/theorytab/view/the-beatles/lady-madonna","I-IV-I-IV-I-IV-bVI(min)-IV/IV-I"
"The Beatles","Lady Madonna","Bridge","Cmaj",219,"dm-G-C-am-dm-G-C-bm7(b5)-Esus4-E","http://www.hooktheory.com/theorytab/view/the-beatles/lady-madonna","ii-V-I-vi-ii-V-I-vii-V/vi-V/vi"
"The Beatles","Mean Mr Mustard","Verse","Emaj",99,"E-B-B-C-C#-D-D-C#-C-B-B-E-C-B-E-C-B","http://www.hooktheory.com/theorytab/view/the-beatles/mean-mr-mustard","I-V-V-bVI(min)-bVI(min)-IV/IV-IV/IV-bVI(min)-bVI(min)-V-V-I-bVI(min)-V-I-bVI(min)-V"
"The Beatles","You've Got To Hide Your Love Away","Verse","Gmaj",91,"G-Dsus4-F(add9)-G-C-C-F(add9)-C-G-Dsus4-F(add9)-G-C-C-F(add9)-C-D-D","http://www.hooktheory.com/theorytab/view/the-beatles/youve-got-to-hide-your-love-away","I-V-IV/IV-I-IV-IV-IV/IV-IV-I-V-IV/IV-I-IV-IV-IV/IV-IV-V-V"
"The Beatles","If I Fell","Intro","Dbmaj",105,"ebm-Ebb-Db-bbm-ebm-Ebb-fbm7-Bbb","http://www.hooktheory.com/theorytab/view/the-beatles/if-i-fell","ii-NA-I-vi-ii-NA-NA-NA"
"The Beatles","If I Fell","Verse","Dmaj",107,"D-em-f#m-em7-A7","http://www.hooktheory.com/theorytab/view/the-beatles/if-i-fell","I-ii-iii-ii-V"
"The Beatles","If I Fell","Verse","Dmaj",110,"D-em-f#m-em-A-D-em-f#m-em-A-D-gm-A-D-em-f#m-em-A-D-em-f#m-em-A","http://www.hooktheory.com/theorytab/view/the-beatles/if-i-fell","I-ii-iii-ii-V-I-ii-iii-ii-V-I-iv(min)-V-I-ii-iii-ii-V-I-ii-iii-ii-V"
"The Beatles","For You Blue","Chorus","Dmaj",127,"D-G-D-D-G-G-D-D-A7-G-D-A7","http://www.hooktheory.com/theorytab/view/the-beatles/for-you-blue","I-IV-I-I-IV-IV-I-I-V-IV-I-V"
"The Beatles","Norwegian Wood","Intro","Emix",192,"E-bm7-A-E-E-bm7-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/norwegian-wood","I-NA-IV-I-I-NA-IV-I"
"The Beatles","Norwegian Wood","Chorus","Edor",92,"em-A-em-f#m7-B","http://www.hooktheory.com/theorytab/view/the-beatles/norwegian-wood","i-IV-i-ii-I/v(maj)"
"The Beatles","Hello Goodbye","Verse","Cmaj",100,"F6-C-G7-am-G7-am-G7-C-G7-F-C","http://www.hooktheory.com/theorytab/view/the-beatles/hello-goodbye","IV-I-V-vi-V-vi-V-I-V-IV-I"
"The Beatles","Hello Goodbye","Chorus","Cmaj",101,"C-C-am7-am-F-Ab-C-C-am7-am-F-Bb7-C","http://www.hooktheory.com/theorytab/view/the-beatles/hello-goodbye","I-I-vi-vi-IV-bVI(min)-I-I-vi-vi-IV-NA-I"
"The Beatles","Day Tripper","Verse","Emix",138,"E-E-A-E","http://www.hooktheory.com/theorytab/view/the-beatles/day-tripper","I-I-IV-I"
"The Beatles","Day Tripper","Chorus","Emaj",136,"F#7-A-G#7-C#-B","http://www.hooktheory.com/theorytab/view/the-beatles/day-tripper","V/V-IV-V/vi-I/vi-V"
"The Beatles","Here There And Everywhere","Verse","Gmaj",84,"G-am-bm-C-G-am-bm-C-f#m7-B7-f#m7-B7-em-am-am7-D7","http://www.hooktheory.com/theorytab/view/the-beatles/here-there-and-everywhere","I-ii-iii-IV-I-ii-iii-IV-vii(lyd)-V/vi-vii(lyd)-V/vi-vi-ii-ii-V"
"The Beatles","Here There And Everywhere","Bridge","Gmaj",82,"am7-D7-F7-Bb-gm-cm-D7-gm-cm-D7-G-am","http://www.hooktheory.com/theorytab/view/the-beatles/here-there-and-everywhere","ii-V-NA-bIII(min)-i(min)-iv(min)-V-i(min)-iv(min)-V-I-ii"
