"","artist","song","song_parts","chords","link"
"103","Taylor Swift","Sparks Fly","Verse","F-C-gm-Bb-F-C-gm-Bb","http://www.hooktheory.com/theorytab/view/taylor-swift/the-way-i-loved-you"
"104","Taylor Swift","Sparks Fly","Pre-Chorus","F-Csus4-C-gm7-b-bm-b-bm","http://www.hooktheory.com/theorytab/view/taylor-swift/the-way-i-loved-you"
"105","Taylor Swift","Sparks Fly","Chorus","F-C-gm7-Bb-Csus4-C-F-C-gm7-Bbbbm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/the-way-i-loved-you"
"106","Taylor Swift","Sparks Fly","Bridge","","http://www.hooktheory.com/theorytab/view/taylor-swift/the-way-i-loved-you"
"107","Taylor Swift","New Year's Day","Verse","E-Asus2-E-Asus2-B-c#m-B-Asus2","http://www.hooktheory.com/theorytab/view/taylor-swift/dear-john"
"108","Taylor Swift","New Year's Day","Chorus","Asus2-E-Asus2-c#m-E-Asus2-E","http://www.hooktheory.com/theorytab/view/taylor-swift/dear-john"
"109","Taylor Swift","New Year's Day","Bridge","","http://www.hooktheory.com/theorytab/view/taylor-swift/dear-john"
"110","Taylor Swift","Out of the Woods","Intro","em-C-D-G-D-em-C-D-em-C-D-G-D-em-C-D","http://www.hooktheory.com/theorytab/view/taylor-swift/shouldve-said-no"
"111","Taylor Swift","Out of the Woods","Verse","G-D-em-C-G-D-em-C-G-D-em-C-G-D-em-C","http://www.hooktheory.com/theorytab/view/taylor-swift/shouldve-said-no"
"112","Taylor Swift","Out of the Woods","Pre-Chorus","em-C-G-D-C-D","http://www.hooktheory.com/theorytab/view/taylor-swift/shouldve-said-no"
"113","Taylor Swift","Out of the Woods","Chorus","em-C-D-G-D-em-C-D-em-C-D-G-D-em-C-A-C-D","http://www.hooktheory.com/theorytab/view/taylor-swift/shouldve-said-no"
"114","Taylor Swift","Back To December","Verse","G6-A-G6-A-G6-A-G6-A","http://www.hooktheory.com/theorytab/view/taylor-swift/so-it-goes"
"115","Taylor Swift","Back To December","Pre-Chorus","G6-A-G6-A6","http://www.hooktheory.com/theorytab/view/taylor-swift/so-it-goes"
"116","Taylor Swift","Back To December","Chorus","G-D-A-bm7-G-Dmaj7-A-em-G-D-A-bm7-G-Dmaj7-A-em","http://www.hooktheory.com/theorytab/view/taylor-swift/so-it-goes"
"117","Taylor Swift","Back To December","Chorus","G-D-A-bm7-G-Dmaj7-A-em","http://www.hooktheory.com/theorytab/view/taylor-swift/so-it-goes"
"118","Taylor Swift","Fifteen","Verse","Gsus2-Csus2-em7-Csus2-Gsus2-Csus2-em7-Csus2-G-Csus2-em7-Csus2-G-Csus2-em7-Csus2","http://www.hooktheory.com/theorytab/view/taylor-swift/fifteen"
"119","Taylor Swift","Fifteen","Chorus","G-em7-D-C-G-D-em7-Csus2-em7-D-G-D-C-D","http://www.hooktheory.com/theorytab/view/taylor-swift/fifteen"
"120","Taylor Swift","Fifteen","Bridge","C-em7-D-G-D-C-D-Dsus4-Gsus2-Csus2-em7-Csus2-G-Csus2-em7-Csus2-C","http://www.hooktheory.com/theorytab/view/taylor-swift/fifteen"
"121","Taylor Swift","I Did Something Bad","Verse","gm-B-b6-Eb-cm-dm-gm-B-b6-Eb-cm-dm-Eb-gm-F-Eb-cm-dm","http://www.hooktheory.com/theorytab/view/taylor-swift/i-did-something-bad"
"122","Taylor Swift","I Did Something Bad","Chorus","gm-Bb-E-bmaj7-cm-dm-gm-Bb-Eb-cm-dm","http://www.hooktheory.com/theorytab/view/taylor-swift/i-did-something-bad"
"123","Taylor Swift","The Story Of Us","Verse","E-B-A-E-B-A","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"124","Taylor Swift","The Story Of Us","Pre-Chorus","B-c#m-E-A-E-A-B","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"125","Taylor Swift","The Story Of Us","Chorus","E-B-A-E-B-A-c#m-B-E-A-c#m-B-A","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"126","Taylor Swift","The Story Of Us","Bridge","E-A-c#m-B-A-E-A-c#m-B-A-A(add9-)","http://www.hooktheory.com/theorytab/view/taylor-swift/the-story-of-us"
"127","Taylor Swift","King Of My Heart","Verse","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"128","Taylor Swift","King Of My Heart","Pre-Chorus","C-G-dm-F-C-G-dm-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
"129","Taylor Swift","King Of My Heart","Chorus","C-G-dm7-F-C-G-dm7-F-C-G-dm7-F","http://www.hooktheory.com/theorytab/view/taylor-swift/king-of-my-heart"
